checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,69,69.0,17,17.0,14,14.000000000000002,0.52
200,100,77,77.0,7,7.000000000000001,16,16.0,0.7
300,100,64,64.0,14,14.000000000000002,22,22.0,0.5
400,100,72,72.0,19,19.0,9,9.0,0.53
500,100,79,79.0,12,12.0,9,9.0,0.67
600,100,80,80.0,11,11.0,9,9.0,0.69
700,100,80,80.0,10,10.0,10,10.0,0.7
800,100,74,74.0,13,13.0,13,13.0,0.61
900,100,71,71.0,14,14.000000000000002,15,15.0,0.57
final,100,77,77.0,11,11.0,12,12.0,0.66
